,itemId,Word2Vec,TFIDF,Glove
98,2942409,Worked God good nice one delivery and Value wek itembut,delivery larger Very God within money for in wek want,itembut God for one one and money good want buy
99,2942420,than faster Wel good Very Delivery item expected,Very expected than item Wel faster good Delivery,item good Delivery Very Wel
100,2942819,Cheap my The quality preference itself price high and GOD,price but high preference Cheap my GOD quality expectations The,Cheap GOD The item preference expectations itself suits my price
101,2944115,Thanks its useSatisfied easy regret and buy to perfect it,You you and to wont its easy Thanks useSatisfied perfect,You durable regret buy wont perfect very to easy and
102,2944438,dikirim kok Status pengiriman Status,Status kok pengiriman dikirim Status,Status Status dikirim pengiriman
103,2944463,Barang lewat 30 Bagus terakhir barang deskripsi nya baru terima,barang Barang saya dikirim 30 terakhir blum tgl tgl perkiran,Bagus tgl Barang Status deskripsi penjual nerima lewat nih dikirim
104,2944511,real bener cepet sampai semoga semoga,semoga real cepet sampai bener semoga,real bener sampai semoga semoga cepet
105,2945259,Bintang bagussesuai Produk deskripsi Bagus produk Lima,Produk produk deskripsi bagussesuai Bagus Lima Bintang,bagussesuai Produk
106,2961807,Hard external Mohon Pd speaker tSb Barang sms blm sdh,sdh dikirim Pd Hard sms speaker Mohon external blm tSb,Pd tSb Barang Hard external disk speaker sampai sms sdh
107,2995260,diterima gambar maupun LCD Kecewa menu sesuai Produk Yang berbeda,gambar Kecewa menu Yang 10 Produk LCD maupun berbeda sesuai,Yang Produk Kecewa diterima gambar sesuai
108,3017312,baikterima terima barang kasih,kasih barang terima baikterima,baikterima barang terima
109,3017529,Semoga Barang awet diterima baik kondisi,Barang Semoga kondisi baik diterima awet,baik kondisi diterima Barang
110,3018996,So fd external far found,external So far fd found,So far external fd
111,3100597,up Bagus Two tumbs,tumbs up Bagus Two,Two Bagus
112,3113767,puas Cukup,puas Cukup,Cukup
113,3330238,bagus mantap Barang kualitas ok,ok mantap kualitas Barang bagus,bagus Barang ok kualitas
114,3485369,pengiriman lumayan Pengiriman seler Thanks cepat,lumayan cepat seler Thanks pengiriman Pengiriman,Thanks Pengiriman seler lumayan pengiriman cepat
115,2728806,murah,murah,murah
116,3537360,seharusnya Barang duganakan normal,Barang seharusnya duganakan normal,duganakan Barang
117,3537552,regret GOD You durable Thanks you if it Lazada buy,you You durable GOD Thanks its wont buy if regret,You GOD regret buy wont if you it
118,3546914,Cepat Jos bagus sampai Sesuai Barang deskripsi,Sesuai sampai deskripsi Cepat bagus Jos Barang,Sesuai bagus Barang
119,3565865,Garansi toko God cek Kualitas rapih cepet good nya that,God Kep work toko good bagus lebih up resmi rapih,bagus jauh lebih mahal cepet cek toko fisik aman packing
120,3585351,awet lazada baguspengiriman rapihrecomended dehtrimsEZC Barangnya cepatdan BAGUS packing Mudah2an,dehtrimsEZC rapihrecomended baguspengiriman awet Mudah2an cepatdan seler Barangnya packing barang,rapihrecomended cepatdan baguspengiriman BAGUS seler barang packing
121,3654905,skrng awet hardisknya,awet skrng hardisknya,awet hardisknya
122,3720055,OK Pelayanan Kualitas Wow Barang Mantab banget OKE Trims,OKE Barang Trims Wow Pelayanan Mantab Kualitas OK banget,Mantab
123,3827510,mantap bagus barang,barang mantap bagus,mantap barang bagus
124,4256601,keren produk deskripsi drpd malah bagus Kualitas lebih gambarnya Sesuai,Kualitas ternyata malah keren deskripsi produk Sesuai aslinya bagus lebih,bagus ternyata keren lebih aslinya drpd malah gambarnya produk service
